bus_id,phase,scenario,p_pu,q_pu
sourcebus,a,h001,0.0049963802662159997,0.001666288747653
sourcebus,b,h001,0.0038998063660769999,0.0018561831163979999
sourcebus,c,h001,0.0042839694702940002,0.00081165712053999999
1,a,h001,8.3099999999999999e-13,3.6400000000000006e-13
1,b,h001,9.96e-13,1.702e-12
1,c,h001,-4.4800000000000011e-13,2.4699999999999996e-13
5,a,h001,3.5999999999999993e-13,7.0800000000000001e-13
5,b,h001,-2.0000000000000006e-13,-4.499999999999998e-13
5,c,h001,2.9200000000000012e-13,2.37e-13
15,a,h001,-7.3200000000000011e-13,-1.0000000000000084e-15
15,b,h001,-9.6799999999999991e-13,-6.1000000000000043e-14
15,c,h001,-6.5600000000000003e-13,-6.6000000000000009e-14
16,a,h001,4.3699999999999985e-13,-4.0699999999999998e-13
16,b,h001,4.0899999999999992e-13,-4.8999999999999943e-14
16,c,h001,-5.9000000000000026e-14,1.1000000000000002e-14
23,a,h001,-0.00073437486238299996,-0.00024137546115700001
23,b,h001,-1.9899999999999991e-13,-2.2000000000000029e-14
23,c,h001,3.4900000000000008e-13,4.1999999999999966e-14
28,a,h001,-3.68e-13,2.7999999999999991e-14
28,b,h001,-0.001485738795915,-0.00048833983042400003
28,c,h001,1.3900000000000001e-13,-1.4000000000000011e-14
37,a,h001,4.5140000000000004e-12,-8.7999999999999827e-14
37,b,h001,2.7999999999999818e-14,-3.3000000000000251e-14
37,c,h001,4.3349999999999996e-12,5.460000000000003e-13
53,a,h001,-0.00053622561011900001,-0.00017624384394199997
53,b,h001,-3.6099999999999998e-13,-3.2199999999999999e-13
53,c,h001,2.6899999999999996e-13,1.0299999999999998e-13
56,a,h001,-1.43e-13,1.72e-13
56,b,h001,4.7999999999999991e-14,-1.01e-13
56,c,h001,2.2400000000000011e-13,-2.0000000000000009e-15
81,a,h001,-1.6749999999999998e-12,9.8599999999999984e-13
81,b,h001,-8.9590000000000001e-12,-4.5269999999999996e-12
81,c,h001,2.504000000000001e-12,-1.4730000000000001e-12
101,a,h001,8.4300000000000004e-13,-9.7000000000000319e-14
101,b,h001,1.4980000000000003e-12,-7.6300000000000008e-13
101,c,h001,-8.1699999999999995e-13,-9.96e-13
112,a,h001,1.1679999999999999e-12,1.0200000000000003e-12
112,b,h001,-7.8999999999999903e-14,8.7400000000000001e-13
112,c,h001,-4.3999999999999712e-14,-5.1200000000000004e-13
114,a,h001,1.19e-13,-1.7400000000000002e-13
114,b,h001,-3.6999999999999994e-14,7.7999999999999996e-14
114,c,h001,-3.5100000000000012e-13,-2.0199999999999997e-13
116,a,h001,-2.0200000000000002e-13,1.5400000000000003e-13
116,b,h001,-7.4619284698000009e-05,-2.4528002107999999e-05
116,c,h001,-8.76e-13,-1.1269999999999997e-12
117,a,h001,-4.7799999999999998e-13,3.6200000000000012e-13
117,b,h001,-2.7900000000000012e-13,-3.9399999999999994e-13
117,c,h001,3.5800000000000014e-13,-1.5500000000000007e-13
127,a,h001,-2.5200000000000004e-13,2.2799999999999999e-13
127,b,h001,2.6999999999999999e-14,-8.3999999999999983e-14
127,c,h001,-1.3499999999999998e-13,-5.9999999999999997e-15
145,a,h001,-1.200000000000005e-14,4.8900000000000004e-13
145,b,h001,5.7499999999999997e-13,-2.4999999999999994e-14
145,c,h001,2.8899999999999998e-13,-2.6200000000000004e-13
153,a,h001,-4.2299999999999981e-13,-2.2000000000000058e-14
153,b,h001,3.210000000000001e-13,1.1599999999999996e-13
153,c,h001,2.2400000000000003e-13,5.100000000000001e-14
156,a,h001,-1.400000000000001e-14,-1.6999999999999994e-14
156,b,h001,-6.5999999999999996e-14,9.0000000000000184e-15
156,c,h001,-5.9000000000000001e-14,-3.0000000000000002e-15
163,a,h001,-0.00038119503441599997,-0.00012528996070800002
163,b,h001,-0.00014380823239700002,-4.7271195798000001e-05
163,c,h001,-0.00076227896967199984,-0.00025054974164999996
166,a,h001,-3.5530000000000007e-12,-3.1600000000000002e-13
166,b,h001,2.2230000000000001e-12,6.0399999999999985e-13
166,c,h001,-6.0999999999999993e-13,2.2560000000000001e-12
211,a,h001,-0.00028480565710099998,-9.3607742997999999e-05
211,b,h001,-5.1300000000000004e-13,-2.719999999999999e-13
211,c,h001,-3.0999999999999994e-13,1.2599999999999992e-13
212,a,h001,2.6219999999999995e-12,-2.9590000000000002e-12
212,b,h001,-3.1110000000000004e-12,-3.3040000000000009e-12
212,c,h001,1.0730000000000004e-12,-7.1599999999999998e-13
239,a,h001,-3.7000000000000025e-14,-2.8200000000000016e-13
239,b,h001,-0.00014781072098999997,-4.8587067905999997e-05
239,c,h001,-7.4300000000000007e-13,1.9400000000000003e-13
242,a,h001,-1.5900000000000003e-13,2.48e-13
242,b,h001,1.0600000000000002e-13,-2.6999999999999995e-14
242,c,h001,-0.00063727147163199997,-0.00020946189437899998
247,a,h001,1.4700000000000003e-13,1.1000000000000016e-14
247,b,h001,2.8999999999999998e-13,6.6000000000000022e-14
247,c,h001,-1.5500000000000002e-13,-2.6000000000000025e-14
253,a,h001,-2.5099999999999994e-13,-1.9800000000000007e-13
253,b,h001,-1.8800000000000006e-13,1.9399999999999998e-13
253,c,h001,-0.000135980722727,-4.4698081252999999e-05
263,a,h001,-1.9199999999999999e-13,-1.3e-13
263,b,h001,-2.0999999999999999e-14,4.0000000000000082e-15
263,c,h001,-6.6999999999999992e-14,1.01e-13
271,a,h001,1.5700000000000004e-13,-5.5000000000000024e-14
271,b,h001,-6.2999999999999984e-14,5.799999999999998e-14
271,c,h001,-7.2064012977000002e-05,-2.3688363667999998e-05
280,a,h001,2.5200000000000004e-13,-7.9999999999999962e-14
280,b,h001,-6.2799999999999995e-13,-7.0800000000000001e-13
280,c,h001,-4.9899999999999999e-13,-4.6000000000000006e-13
310,a,h001,-6.909104866e-05,-2.2704055974999997e-05
310,b,h001,5.8600000000000013e-13,-8.4999999999999991e-14
310,c,h001,-6.6633051411000007e-05,-2.1903464458999998e-05
311,a,h001,2.9099999999999995e-12,8.4499999999999993e-13
311,b,h001,-1.6550000000000001e-12,4.0300000000000091e-13
311,c,h001,7.1599999999999998e-13,6.2700000000000016e-13
328,a,h001,-6.0993798450000002e-05,-2.0042961698999999e-05
328,b,h001,1.4000000000000054e-14,1.6200000000000009e-13
328,c,h001,2.3099999999999997e-13,-1.1600000000000004e-13
332,a,h001,6.0500000000000015e-13,-3.5099999999999997e-13
332,b,h001,1.9299999999999999e-13,1.6699999999999997e-13
332,c,h001,5.3500000000000004e-13,-1.9999999999999965e-14
356,a,h001,-1.641e-12,2.5500000000000007e-13
356,b,h001,-0.000817598660491,-0.00026873290299200001
356,c,h001,-1.3350000000000001e-12,3.399999999999995e-14
360,a,h001,-7.3154561881999991e-05,-2.4039674672000001e-05
360,b,h001,-4.8199999999999997e-13,1.2700000000000004e-13
360,c,h001,1.1399999999999999e-13,1.6199999999999999e-13
373,a,h001,8.5799999999999998e-13,4.6900000000000002e-13
373,b,h001,-5.1700000000000002e-13,1.148e-12
373,c,h001,-8.1999999999999994e-13,-1.1099999999999998e-13
379,a,h001,1.4699999999999993e-13,2.9200000000000012e-13
379,b,h001,-1.4199999999999995e-13,3.1799999999999996e-13
379,c,h001,-2.2900000000000003e-13,-1.4000000000000003e-14
390,a,h001,3.2099999999999994e-13,-2.6999999999999999e-14
390,b,h001,-1.8999999999999976e-14,-7.2000000000000021e-14
390,c,h001,-5.1000000000000004e-14,-6.8999999999999984e-14
391,a,h001,2.4400000000000002e-13,-5.6200000000000003e-13
391,b,h001,4.6499999999999994e-13,-1.238e-12
391,c,h001,1.1470000000000001e-12,3.4599999999999999e-13
396,a,h001,5.5999999999999963e-14,1.6999999999999998e-13
396,b,h001,-8.8999999999999974e-14,-2.4299999999999997e-13
396,c,h001,-3.2699999999999997e-13,-8.7000000000000033e-14
403,a,h001,1.2519999999999999e-12,2.7800000000000003e-12
403,b,h001,2.0699999999999962e-13,-3.0389999999999995e-12
403,c,h001,2.264e-12,-1.5939999999999999e-12
409,a,h001,-1.2460000000000001e-12,9.8800000000000003e-13
409,b,h001,-1.9010000000000005e-12,-1.8640000000000001e-12
409,c,h001,1.2139999999999999e-12,-1.3100000000000005e-13
423,a,h001,-3.07e-13,-5.9000000000000001e-14
423,b,h001,-7.1999999999999996e-14,-1.3999999999999998e-13
423,c,h001,-7.3417551243999996e-05,-2.4133373795999999e-05
452,a,h001,2.3999999999999999e-13,-1.7599999999999996e-13
452,b,h001,1.0599999999999998e-13,-2.9999999999999967e-15
452,c,h001,2.4099999999999998e-13,-7.0000000000000001e-15
453,a,h001,3.6700000000000005e-13,1.7799999999999995e-13
453,b,h001,1.07e-13,1.5999999999999992e-13
453,c,h001,6.7699999999999994e-13,7.3000000000000017e-14
471,a,h001,7.8700000000000008e-13,-3.7400000000000002e-13
471,b,h001,5.0099999999999999e-13,-4.9999999999999945e-14
471,c,h001,-0.00024877086874899998,-8.1771383816000006e-05
475,a,h001,-0.000139216359068,-4.5746591335000001e-05
475,b,h001,-8.9999999999999995e-14,1.2300000000000001e-13
475,c,h001,-1.6000000000000036e-14,-5.5999999999999995e-14
480,a,h001,-8.254000000000001e-12,3.318000000000001e-12
480,b,h001,-1.0159999999999999e-11,-1.2559999999999999e-12
480,c,h001,-7.8690000000000005e-12,-4.74e-13
487,a,h001,-4.2600000000000041e-13,-2.831e-12
487,b,h001,-4.6012614618000001e-05,-1.5126394935999999e-05
487,c,h001,1.4349999999999998e-12,-2.4600000000000042e-13
508,a,h001,-1.8899999999999998e-13,-2.7000000000000006e-13
508,b,h001,2.25e-13,-5.6000000000000014e-14
508,c,h001,2.9999999999999992e-14,1.01e-13
544,a,h001,-0.0013569590113669998,-0.00044600416490000002
544,b,h001,9.4999999999999961e-14,5.9999999999999997e-14
544,c,h001,5.6200000000000013e-13,-1.0300000000000012e-13
546,a,h001,-0.00023796446968599999,-7.821015516e-05
546,b,h001,2.5599999999999997e-13,-9.9999999999999732e-15
546,c,h001,-4.0000000000001029e-15,4.8999999999999943e-14
559,a,h001,1.1669999999999998e-12,-2.1710000000000003e-12
559,b,h001,-5.8227323025000002e-05,-1.9141329410999998e-05
559,c,h001,-0.00033997905169700005,-0.000111747784803
578,a,h001,2.4400000000000007e-13,1.5900000000000003e-13
578,b,h001,-6.3999999999999879e-14,3.2799999999999986e-13
578,c,h001,-7.6125927673000016e-05,-2.5023840188000005e-05
615,a,h001,1.2870000000000001e-12,-6.64e-13
615,b,h001,4.6400000000000004e-13,-2.5000000000000095e-14
615,c,h001,-5.8200000000000025e-13,2.1700000000000014e-13
621,a,h001,-4.4399999999999993e-13,8.1000000000000008e-14
621,b,h001,-0.00013540973485000001,-4.4512856920000002e-05
621,c,h001,1.2900000000000011e-13,9.7999999999999948e-14
627,a,h001,1.1080000000000003e-12,2.7729999999999996e-12
627,b,h001,-1.867e-12,-1.727e-12
627,c,h001,1.0729999999999996e-12,-8.3499999999999977e-13
658,a,h001,-7.7099999999999995e-13,1.3199999999999999e-13
658,b,h001,-1.1839999999999998e-12,2.9300000000000006e-13
658,c,h001,-8.9300000000000003e-13,1.4099999999999998e-13
659,a,h001,1.04e-13,1.0999999999999999e-14
